Currency,Event,Impact,Count
EUR,S&P Global Manufacturing PMI,2,1326
EUR,S&P Global Services PMI,2,1313
EUR,CPI m/m,2,905
EUR,HICP y/y,1,787
EUR,HICP m/m,1,772
EUR,CFTC EUR Non-Commercial Net Positions,2,770
EUR,PPI y/y,1,671
EUR,Retail Sales y/y,1,661
EUR,Industrial Production y/y,1,658
EUR,6-Month BTF Auction,1,593
EUR,3-Month BTF Auction,1,592
EUR,12-Month BTF Auction,1,586
EUR,CPI y/y,2,585
EUR,S&P Global Composite PMI,1,576
EUR,CPI m/m,1,531
EUR,Consumer Confidence Index,1,481
EUR,PPI m/m,1,481
EUR,Current Account,1,476
EUR,CPI y/y,1,456
EUR,Trade Balance,1,435
EUR,GDP q/q,2,387
EUR,Industrial Production m/m,2,368
EUR,CPI y/y,3,365
EUR,S&P Global Composite PMI,2,362
EUR,Unemployment Rate,2,362
EUR,Trade Balance,2,358
EUR,GDP y/y,2,353
EUR,ZEW Economic Sentiment Indicator,2,353
EUR,New Car Registrations m/m,1,352
EUR,New Car Registrations y/y,1,352
EUR,Retail Sales m/m,1,334
EUR,Unemployment Change,2,326
EUR,Core CPI y/y,2,319
EUR,ECB President Lagarde Speech,3,318
EUR,HICP y/y,2,295
EUR,Current Account n.s.a.,1,294
EUR,Industrial Production m/m,1,291
EUR,ECB Vice President de Guindos Speech,2,259
EUR,Unemployment Rate,1,246
EUR,HICP m/m,2,243
EUR,Business Confidence,1,233
EUR,Consumer Confidence,1,231
EUR,ECB Executive Board Member Lane Speech,2,217
EUR,Eurogroup Meeting,2,194
EUR,GDP y/y,1,194
EUR,CPI excl. Energy and Unprocessed Food y/y,1,193
EUR,PPI m/m,2,185
EUR,Ifo Business Climate,2,184
EUR,Factory Orders m/m,2,182
EUR,Factory Orders y/y,2,182
EUR,GfK Consumer Climate,2,182
EUR,Core CPI m/m,1,181
EUR,Trade Balance n.s.a.,2,181
EUR,Economic Sentiment Indicator,2,180
EUR,Ifo Business Expectations,2,180
EUR,S&P Global Construction PMI,1,180
EUR,ECB M3 Money Supply y/y,1,179
EUR,Construction Output y/y,1,178
EUR,Construction Output m/m,1,177
EUR,Consumer Spending m/m,2,177
EUR,Retail Sales m/m,2,175
EUR,10-Year Bond Auction,2,174
EUR,Industrial Confidence Indicator,1,174
EUR,Sentix Investor Confidence,1,173
