Currency,Event,R²,MSE,Samples
EUR,10-Year BTP Auction,0.520066955345408,222617556681.7384,37
EUR,10-Year Bond Auction,-0.2609945167505514,59239106398.618164,48
EUR,10-Year OAT Auction,0.3799831074018414,164299763279.9494,37
EUR,10-Year Obligacion Auction,0.921308594258584,121985593075.36928,45
EUR,12-Month BOT Auction,0.7753894024239639,244855896956.44037,39
EUR,12-Month BTF Auction,0.9718585625354456,43693740291.52241,171
EUR,12-Month Letras Auction,0.7596516939742904,221293490588.7338,38
EUR,15-Year Obligacion Auction,-23.942415574795437,1204366358030.6638,8
EUR,2-Year CTZ Auction,-0.2073629161755195,395539202643.82587,21
EUR,2-Year Note Auction,0.17987741307590976,150144768370.40207,40
EUR,3-Month BTF Auction,0.9831758211319213,40220205496.444695,173
EUR,3-Month Letras Auction,0.8489097128744225,218330481199.40308,38
EUR,3-Year BTP Auction,-0.21086952013099536,312433242649.9415,33
EUR,3-Year Bonos Auction,0.7219363058786528,188924767856.88474,36
EUR,3-Year OAT Auction,-0.21678493106105678,96514265044.36359,26
EUR,30-Year BTP Auction,-0.5198481306894567,248386589985.6584,7
EUR,30-Year Bond Auction,-0.025626032568879076,50253852373.817154,30
EUR,30-Year Obligacion Auction,-2.570067416604662,239031732560.24557,7
EUR,5-Year BTP Auction,0.7410199785339582,231503259287.7206,37
EUR,5-Year Bonos Auction,0.9089161038531247,199253499292.267,43
EUR,5-Year Note Auction,0.08280074755420797,55749454116.883255,38
EUR,5-Year OAT Auction,0.026148917682391914,176468572545.534,32
EUR,6-Month BOT Auction,0.8413330326122193,281670996310.24945,36
EUR,6-Month BTF Auction,0.9809399357262226,40735878782.56274,173
EUR,6-Month Letras Auction,0.8241320164261441,224322822555.70596,38
EUR,7-Year BTP Auction,0.48734782083479233,69853771478.94664,28
EUR,9-Month Letras Auction,0.7143462831483022,234256512516.7151,37
EUR,Business Climate,0.721714765690342,4450998271580.6,40
EUR,Business Climate Indicator,0.9221282415312603,36577509014.50647,37
EUR,Business Confidence,-0.012136780147462334,2486711939369067.0,65
EUR,CFTC EUR Non-Commercial Net Positions,0.8852151435946444,500453258937993.4,226
EUR,CPI,0.28037815260057875,1549537482016.7368,38
EUR,CPI FOI excl. Tobacco m/m,-0.02984053030953726,385935948588.3627,41
EUR,CPI FOI excl. Tobacco y/y,0.8434676328690037,2005065076376.5222,41
EUR,CPI excl. Energy and Unprocessed Food m/m,0.06746101384225067,182745840634.83688,44
EUR,CPI excl. Energy and Unprocessed Food y/y,0.971172960821571,79692137449.89865,53
EUR,CPI excl. Tobacco m/m,-0.09935486821651462,240260407195.2796,34
EUR,CPI excl. Tobacco y/y,0.90600115924965,835317920913.2004,34
EUR,CPI m/m,0.23935104054792555,248269918971.09338,426
EUR,CPI y/y,0.7222323224913587,2270125048856.5576,417
EUR,Construction Output m/m,-0.49318861343485065,3336210309479.365,49
EUR,Construction Output y/y,0.04084084830014034,45778729116026.375,49
EUR,Consumer Confidence,0.054637108138490875,174928253325273.56,65
EUR,Consumer Confidence Index,0.07240493544423166,2303908707102226.0,140
EUR,Consumer Price Expectations,0.7736260632663069,24265265465684.01,36
EUR,Consumer Spending m/m,-0.9752628020449401,8662872708618.676,49
EUR,Core CPI,0.5358029255367827,1270199878147.3296,37
EUR,Core CPI m/m,-0.0268292326318893,291311453297.667,50
EUR,Core CPI y/y,0.928530114663952,98564230634.07074,91
EUR,Current Account,0.13254565746273472,178140232937498.66,138
EUR,Current Account n.s.a.,0.2815022545650169,172019168087895.56,84
EUR,ECB Deposit Facility Rate Decision,0.34022113838136303,532874284212.5723,23
EUR,ECB Households Loans y/y,0.9346692785992182,172237845504.26083,38
EUR,ECB Interest Rate Decision,0.9007508202084112,339268733583.8254,39
EUR,ECB M3 Money Supply y/y,0.9033796577393159,790204710531.5078,49
EUR,ECB Marginal Lending Facility Rate Decision,0.894635795249285,354032189542.7211,37
EUR,ECB Non-Financial Corporations Loans y/y,0.791950956862783,1046671647545.0411,30
EUR,ECB Private Sector Loans y/y,0.7637232618000409,571498303298.2618,30
EUR,Economic Sentiment Indicator,0.753129952194447,18350226536588.934,50
EUR,Employment Change q/q,-0.6128050756367529,23771500548.617176,21
EUR,Employment Change y/y,0.7628393796459307,50485566817.56508,20
EUR,Employment Level,0.09667954449946625,1881067029375.6375,9
EUR,Export Price Index m/m,-0.10049499155491959,91222849220.00742,22
EUR,Export Price Index y/y,0.4169650097275762,2486102235791.6504,22
EUR,Exports,-0.3452126584650048,3816278646647.923,39
EUR,Exports m/m,-0.5963492790793365,12610482652144.836,37
EUR,Factory Orders m/m,-0.4840578193733909,32400544128120.73,50
EUR,Factory Orders y/y,0.467559970430358,141955472882884.66,50
EUR,GDP q/q,0.305885623332517,410641581644.1969,179
EUR,GDP y/y,0.3960793610612563,2190487118535.8425,160
EUR,GfK Consumer Climate,0.8016192731550688,24850836868789.8,50
EUR,Government Budget Balance,0.15793356339144315,2589767812182144.5,38
EUR,Government Deficit – GDP Ratio,-0.2218870495394769,12477385207201.02,11
EUR,HICP m/m,0.03975983087586077,447084007352.76044,300
EUR,HICP y/y,0.680646592844645,3029245160210.2563,320
EUR,Ifo Business Climate,0.640570016205635,9392628453691.94,51
EUR,Ifo Business Expectations,0.651260045044529,14642283748669.412,50
EUR,Ifo Current Business Situation,0.6286570881823019,9547834362218.113,43
EUR,Import Price Index m/m,0.011208828953360284,2065656246779.7542,37
EUR,Import Price Index y/y,0.8545499101874923,29424070760732.117,37
EUR,Imports,0.4198154388490487,6240086189440.007,39
EUR,Imports m/m,-0.37459859569407405,14483508226419.135,37
EUR,Industrial Confidence Indicator,0.9298241147391413,6595918057935.18,48
EUR,Industrial Investment Forecast,0.07571407297178201,61224696976837.73,5
EUR,Industrial New Orders m/m,-0.26536635802815045,241195665925733.25,23
EUR,Industrial New Orders y/y,0.23308802803436124,139569192381241.12,23
EUR,Industrial Production m/m,-0.5233584848851609,3195132365766.763,193
EUR,Industrial Production y/y,0.4090473172758201,17115780853701.633,193
EUR,Industrial Sales  y/y,0.8509430243915739,13779020325681.406,37
EUR,Industrial Sales m/m,-0.39815633627914093,3645400357790.7666,37
EUR,Industry Selling Price Expectations,0.8411288813854433,30943307680362.188,34
EUR,Jobseekers Total,0.6726285673777459,5938347159321992.0,34
EUR,Labour Cost Index,-0.5161353170028578,722504100531.4922,9
EUR,New Car Registrations m/m,-4.033764443576197,2880817145107755.0,101
EUR,New Car Registrations y/y,-25.18214038949883,4696674684320833.0,101
EUR,Nonfarm Payrolls q/q,0.38811736413944453,24942718050.572308,24
EUR,Official Reserve Assets,0.8234484603025329,3434247843868569.0,29
EUR,PPI m/m,0.3303393123842593,3138731051339.7026,195
EUR,PPI y/y,0.934635561440418,18944150935072.203,197
EUR,Quarterly Unemployment Rate,0.5801104208145735,416119138310.1011,14
EUR,Retail Sales m/m,-0.5004395339881333,3485345567491.502,148
EUR,Retail Sales y/y,0.11735263097117576,19677084610062.793,194
EUR,S&P Global Composite PMI,-0.27490786506171716,9793416559646.102,277
EUR,S&P Global Construction PMI,-0.11180984510251157,16676092475011.732,67
EUR,S&P Global Manufacturing PMI,0.8027448639398977,7291366589019.764,393
EUR,S&P Global Services PMI,0.2528151633425717,10720396603132.832,389
EUR,Sentix Investor Confidence,0.5873215960494518,88678225420553.25,47
EUR,Services Sentiment Indicator,0.35159327684952923,6683515228638.803,38
EUR,Trade Balance,-0.06065373094633375,156086977448535.97,233
EUR,Trade Balance EU,-0.20885807850218208,1659398771876.6753,38
EUR,Trade Balance Non-EU,0.4386992768532305,8478856051832.277,37
EUR,Trade Balance n.s.a.,0.4911901267559744,145160478796157.5,84
