Currency,Event,ForecastMonth,ForecastValue,Unit
EUR,10-Year BTP Auction,THIS,3524391.485452652,
EUR,10-Year Bond Auction,THIS,2362223.9923477173,
EUR,10-Year OAT Auction,THIS,3081634.2186927795,
EUR,10-Year Obligacion Auction,THIS,3286379.547417164,
EUR,12-Month BOT Auction,THIS,2035902.5619626045,
EUR,12-Month BTF Auction,THIS,1887830.018877983,
EUR,12-Month Letras Auction,THIS,1907471.3687896729,
EUR,15-Year Obligacion Auction,THIS,3455975.6631851196,
EUR,2-Year CTZ Auction,THIS,2141803.30991745,
EUR,2-Year Note Auction,THIS,1769899.8606204987,
EUR,3-Month BTF Auction,THIS,1914667.3883199692,
EUR,3-Month Letras Auction,THIS,1966254.9051642418,
EUR,3-Year BTP Auction,THIS,2117375.6662011147,
EUR,3-Year Bonos Auction,THIS,2214740.5382096767,
EUR,3-Year OAT Auction,THIS,2261605.9613227844,
EUR,30-Year BTP Auction,THIS,4382346.811294556,
EUR,30-Year Bond Auction,THIS,2801173.4580993652,
EUR,30-Year Obligacion Auction,THIS,3853007.4117183685,
EUR,5-Year BTP Auction,THIS,2826996.065080166,
EUR,5-Year Bonos Auction,THIS,2447022.8830575943,
EUR,5-Year Note Auction,THIS,1962003.7269592285,
EUR,5-Year OAT Auction,THIS,2583374.0234375,
EUR,50-Year Obligacion Auction,THIS,2887854.7464609146,
EUR,6-Month BOT Auction,THIS,2118923.885345459,
EUR,6-Month BTF Auction,THIS,1912197.2816586494,
EUR,6-Month Letras Auction,THIS,1956565.8569335938,
EUR,7-Year BTP Auction,THIS,3020601.612329483,
EUR,9-Month Letras Auction,THIS,1974864.3310070038,
EUR,Business Climate,THIS,96593408.34617615,
EUR,Business Climate Indicator,THIS,-646846.2789058685,
EUR,Business Confidence,THIS,41044269.18029785,
EUR,CFTC EUR Non-Commercial Net Positions,THIS,76930904.38842773,
EUR,CPI,THIS,127445046.30088806,
EUR,CPI FOI excl. Tobacco m/m,THIS,31075.763702392578,
EUR,CPI FOI excl. Tobacco y/y,THIS,1610078.8354873657,
EUR,CPI excl. Energy and Unprocessed Food m/m,THIS,295727.9443740845,
EUR,CPI excl. Energy and Unprocessed Food y/y,THIS,2512713.074684143,
EUR,CPI excl. Tobacco m/m,THIS,186909.58619117737,
EUR,CPI excl. Tobacco y/y,THIS,2086774.4341492653,
EUR,CPI m/m,THIS,15736.782550811768,
EUR,CPI y/y,THIS,1816557.6100349426,
EUR,Construction Output m/m,THIS,207928.27904224396,
EUR,Construction Output y/y,THIS,-559906.1965942383,
EUR,Consumer Confidence,THIS,89193730.80730438,
EUR,Consumer Confidence Index,THIS,15766258.573532104,
EUR,Consumer Price Expectations,THIS,24147141.951322556,
EUR,Consumer Spending m/m,THIS,188063.1446838379,
EUR,Core CPI,THIS,121088845.88181973,
EUR,Core CPI m/m,THIS,256327.05688476562,
EUR,Core CPI y/y,THIS,2393610.221147537,
